pre_id,pre_x,pre_y,pre_z,pre_type,post_id,post_x,post_y,post_z,post_type,post_class_label,syn_num,excitationType
1303709577,320484,91208,0,PYRAMIDAL,445184863,300836,76006,0,PYRAMIDAL,UNKNOWN,1,1
810035974,330641,72084,0,PYRAMIDAL,737803275,316570,96642,1024,PYRAMIDAL,UNKNOWN,1,1
911073206,288154,77772,0,PYRAMIDAL,1332590785,290307,73537,1152,INTERNEURON,UNKNOWN,1,1
2831222083,263447,133146,0,PYRAMIDAL,3602388503,255844,151710,1664,PYRAMIDAL,UNKNOWN,1,1
4374533701,255350,180877,0,INTERNEURON,4054727032,273929,158909,3584,PYRAMIDAL,UNKNOWN,1,1
2396521784,310480,121068,0,PYRAMIDAL,2323881190,339737,91550,3328,PYRAMIDAL,UNKNOWN,1,1
2831222083,263447,133146,0,PYRAMIDAL,2379657043,278202,130641,512,PYRAMIDAL,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,1684504313,333817,103490,896,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1712172882,321596,92755,1664,INTERNEURON,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,912038743,328683,91072,512,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1712172882,321596,92755,1664,INTERNEURON,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,1187734446,317608,62970,1536,INTERNEURON,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,3167000990,303995,132214,1536,PYRAMIDAL,UNKNOWN,1,1
3488237341,308762,150122,0,PYRAMIDAL,3967982481,306880,154452,1920,INTERNEURON,UNKNOWN,1,1
4374533701,255350,180877,0,INTERNEURON,3952403482,279459,160606,1920,PYRAMIDAL,UNKNOWN,1,1
2396521784,310480,121068,0,PYRAMIDAL,36242340885,341258,75821,3840,PYRAMIDAL,UNKNOWN,1,1
2613404451,270959,126019,0,INTERNEURON,2496435209,261953,118334,512,PYRAMIDAL,UNKNOWN,1,1
329472246,320388,56535,0,PYRAMIDAL,562023484,306569,80144,512,PYRAMIDAL,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,1710887287,304223,103555,640,PYRAMIDAL,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,1187734446,317608,62970,1536,INTERNEURON,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1231798802,315951,85094,128,PYRAMIDAL,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,853531358,327861,77460,1792,PYRAMIDAL,UNKNOWN,1,1
2266236643,334270,125234,0,PYRAMIDAL,2033263097,349309,105292,128,INTERNEURON,UNKNOWN,1,1
664433854,325315,78469,384,INTERNEURON,693666001,314754,75295,0,PYRAMIDAL,UNKNOWN,1,1
37408801249,391015,90796,3303,INTERNEURON,2135367599,369568,106272,2688,PYRAMIDAL,UNKNOWN,1,1
2978750148,298805,141232,0,PYRAMIDAL,1960447432,347293,94566,1664,PYRAMIDAL,UNKNOWN,1,1
4374533701,255350,180877,0,INTERNEURON,4738375682,263886,189545,1280,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,939837644,312016,81664,1280,PYRAMIDAL,UNKNOWN,1,1
4403823534,281474,165672,0,PYRAMIDAL,4738375682,263886,189545,1280,PYRAMIDAL,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,940699328,323279,74884,896,PYRAMIDAL,UNKNOWN,1,1
2266236643,334270,125234,0,PYRAMIDAL,1421670924,341380,87240,640,PYRAMIDAL,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,3167000990,303995,132214,1536,PYRAMIDAL,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,664433854,325315,78469,384,INTERNEURON,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,591165299,323698,65477,128,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1522447195,327405,99414,256,PYRAMIDAL,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,3167000990,303995,132214,1536,PYRAMIDAL,UNKNOWN,1,1
3488237341,308762,150122,0,PYRAMIDAL,3968173214,292326,157867,128,INTERNEURON,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,838522213,325565,85604,640,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1741724100,329254,94516,384,PYRAMIDAL,UNKNOWN,1,1
1727343499,347126,129513,0,PYRAMIDAL,2105961568,354402,104121,2304,PYRAMIDAL,UNKNOWN,1,1
2396521784,310480,121068,0,PYRAMIDAL,2876280588,308091,128960,2944,PYRAMIDAL,UNKNOWN,1,1
3950855757,144847,215286,0,PYRAMIDAL,5505658324,147235,201771,3456,PYRAMIDAL,UNKNOWN,1,1
1666938719,256647,109074,0,PYRAMIDAL,1681261380,271517,107116,768,PYRAMIDAL,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,3561183937,307422,155238,2304,PYRAMIDAL,UNKNOWN,1,1
548327528,330951,85096,0,PYRAMIDAL,912226695,338392,71462,768,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1712172882,321596,92755,1664,INTERNEURON,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,1187734446,317608,62970,1536,INTERNEURON,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1712172882,321596,92755,1664,INTERNEURON,UNKNOWN,1,1
4824798917,212070,200836,0,PYRAMIDAL,5158051474,195543,203751,2304,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1536930472,314596,85641,1792,PYRAMIDAL,UNKNOWN,1,1
2396521784,310480,121068,0,PYRAMIDAL,28308961072,349705,87881,2176,PYRAMIDAL,UNKNOWN,1,1
3488237341,308762,150122,0,PYRAMIDAL,3968173214,292326,157867,128,INTERNEURON,UNKNOWN,1,1
2396521784,310480,121068,0,PYRAMIDAL,1697921145,333258,85756,2816,PYRAMIDAL,UNKNOWN,1,1
1727343499,347126,129513,0,PYRAMIDAL,1350125768,350828,112783,1280,PYRAMIDAL,UNKNOWN,1,1
2831222083,263447,133146,0,PYRAMIDAL,2932844495,270802,124920,2688,PYRAMIDAL,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1712172882,321596,92755,1664,INTERNEURON,UNKNOWN,1,1
765209242,295313,68915,0,PYRAMIDAL,357812369,317547,54225,384,PYRAMIDAL,UNKNOWN,1,1
3034439594,248170,130637,0,PYRAMIDAL,3340126346,247682,132399,1664,INTERNEURON,UNKNOWN,1,1
693666001,314754,75295,0,PYRAMIDAL,1187734446,317608,62970,1536,INTERNEURON,UNKNOWN,1,1
372691296,316510,52313,0,PYRAMIDAL,649015684,301630,54907,256,PYRAMIDAL,UNKNOWN,1,1
2061004193,299642,131247,0,PYRAMIDAL,3167000990,303995,132214,1536,PYRAMIDAL,UNKNOWN,1,1
2974238780,191804,123606,0,PYRAMIDAL,2785477516,205771,135094,1664,INTERNEURON,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1712172882,321596,92755,1664,INTERNEURON,UNKNOWN,1,1
1303709577,320484,91208,0,PYRAMIDAL,1566599710,322398,84920,2048,PYRAMIDAL,UNKNOWN,1,1
4387645213,218273,182192,256,PYRAMIDAL,5027752909,211691,188215,1152,INTERNEURON,UNKNOWN,1,1
1522767497,323170,88935,256,PYRAMIDAL,1537091284,321907,85379,1024,PYRAMIDAL,UNKNOWN,1,1
6209878331,320330,223680,256,INTERNEURON,5657698005,342148,205246,1664,INTERNEURON,UNKNOWN,1,1
5891912355,373273,226250,256,PYRAMIDAL,5805503738,365011,228105,512,PYRAMIDAL,UNKNOWN,1,1
1522767497,323170,88935,256,PYRAMIDAL,548327528,330951,85096,0,PYRAMIDAL,UNKNOWN,1,1
4387645213,218273,182192,256,PYRAMIDAL,5027752909,211691,188215,1152,INTERNEURON,UNKNOWN,1,1
6179610438,284479,228876,256,PYRAMIDAL,6732711396,298779,242278,1920,INTERNEURON,UNKNOWN,1,1
985422992,343625,76374,256,INTERNEURON,1858285103,342380,96098,384,INTERNEURON,UNKNOWN,1,1
4538560279,390532,187722,256,PYRAMIDAL,4800356441,396031,182833,1664,PYRAMIDAL,UNKNOWN,1,1
2480505518,226576,116082,256,PYRAMIDAL,2567746563,214853,128754,0,PYRAMIDAL,UNKNOWN,1,1
4738857025,269507,197706,256,PYRAMIDAL,38062749496,371456,110898,4608,PYRAMIDAL,UNKNOWN,1,1
4812578666,336654,197496,256,PYRAMIDAL,3314267747,352440,164109,3968,PYRAMIDAL,UNKNOWN,1,1
1522767497,323170,88935,256,PYRAMIDAL,1624742310,318079,88352,0,PYRAMIDAL,UNKNOWN,1,1
985422992,343625,76374,256,INTERNEURON,2207715032,337362,115870,512,PYRAMIDAL,UNKNOWN,1,1
882747797,342114,77416,256,PYRAMIDAL,1669376179,355249,100431,640,PYRAMIDAL,UNKNOWN,1,1
5004011982,379644,203366,256,PYRAMIDAL,6153271560,359481,218432,128,INTERNEURON,UNKNOWN,1,1
5282057767,415446,218200,256,PYRAMIDAL,5747158018,408377,205129,2048,PYRAMIDAL,UNKNOWN,1,1
2499647431,379220,124610,256,PYRAMIDAL,3286802267,395002,134488,1536,PYRAMIDAL,UNKNOWN,1,1
4939724073,193682,188743,256,PYRAMIDAL,5172360932,171151,210944,1792,PYRAMIDAL,UNKNOWN,1,1
2500143837,381545,113644,256,PYRAMIDAL,2893276289,372149,126288,896,INTERNEURON,UNKNOWN,1,1
5891912355,373273,226250,256,PYRAMIDAL,6111103263,408456,206249,2688,PYRAMIDAL,UNKNOWN,1,1
5820250665,421685,214737,256,PYRAMIDAL,6053019803,400253,216424,3200,INTERNEURON,UNKNOWN,1,1
1522767497,323170,88935,256,PYRAMIDAL,664974945,327353,88955,384,PYRAMIDAL,UNKNOWN,1,1
1522767497,323170,88935,256,PYRAMIDAL,1231798802,315951,85094,128,PYRAMIDAL,UNKNOWN,1,1
4786324817,391444,179873,256,INTERNEURON,4306756083,386951,178631,640,PYRAMIDAL,UNKNOWN,1,1
3517820276,338769,146584,256,INTERNEURON,3736382282,342604,148394,384,INTERNEURON,UNKNOWN,1,1
