pre_id,post_id,pre_class_label,post_class_label,syn_num,excitation_type
0,12,UNKNOWN,UNKNOWN,1,1
0,13,UNKNOWN,UNKNOWN,2,1
0,54,UNKNOWN,UNKNOWN,2,1
0,55,UNKNOWN,UNKNOWN,4,1
0,56,UNKNOWN,UNKNOWN,7,1
0,57,UNKNOWN,UNKNOWN,1,1
0,59,UNKNOWN,UNKNOWN,1,1
0,67,UNKNOWN,UNKNOWN,5,1
0,112,UNKNOWN,UNKNOWN,1,1
0,189,UNKNOWN,UNKNOWN,1,1
0,190,UNKNOWN,UNKNOWN,1,1
0,197,UNKNOWN,UNKNOWN,3,1
0,199,UNKNOWN,UNKNOWN,1,1
0,245,UNKNOWN,UNKNOWN,2,1
1,12,UNKNOWN,UNKNOWN,1,1
1,13,UNKNOWN,UNKNOWN,1,1
1,53,UNKNOWN,UNKNOWN,1,1
1,55,UNKNOWN,UNKNOWN,1,1
1,56,UNKNOWN,UNKNOWN,5,1
1,59,UNKNOWN,UNKNOWN,1,1
1,66,UNKNOWN,UNKNOWN,3,1
1,189,UNKNOWN,UNKNOWN,1,1
1,198,UNKNOWN,UNKNOWN,5,1
1,200,UNKNOWN,UNKNOWN,1,1
1,204,UNKNOWN,UNKNOWN,1,1
1,244,UNKNOWN,UNKNOWN,2,1
2,0,UNKNOWN,UNKNOWN,1,1
2,3,UNKNOWN,UNKNOWN,1,1
2,53,UNKNOWN,UNKNOWN,2,1
2,54,UNKNOWN,UNKNOWN,3,1
2,59,UNKNOWN,UNKNOWN,1,1
2,70,UNKNOWN,UNKNOWN,1,1
2,80,UNKNOWN,UNKNOWN,1,1
2,82,UNKNOWN,UNKNOWN,1,1
2,111,UNKNOWN,UNKNOWN,1,1
2,125,UNKNOWN,UNKNOWN,1,1
2,131,UNKNOWN,UNKNOWN,1,1
2,149,UNKNOWN,UNKNOWN,1,1
2,185,UNKNOWN,UNKNOWN,1,1
2,192,UNKNOWN,UNKNOWN,1,1
2,194,UNKNOWN,UNKNOWN,5,1
2,195,UNKNOWN,UNKNOWN,3,1
2,196,UNKNOWN,UNKNOWN,2,1
2,203,UNKNOWN,UNKNOWN,1,1
2,204,UNKNOWN,UNKNOWN,1,1
2,207,UNKNOWN,UNKNOWN,2,1
2,217,UNKNOWN,UNKNOWN,1,1
2,219,UNKNOWN,UNKNOWN,1,1
2,231,UNKNOWN,UNKNOWN,1,1
2,235,UNKNOWN,UNKNOWN,1,1
2,239,UNKNOWN,UNKNOWN,1,1
2,250,UNKNOWN,UNKNOWN,1,1
3,1,UNKNOWN,UNKNOWN,1,1
3,2,UNKNOWN,UNKNOWN,2,1
3,22,UNKNOWN,UNKNOWN,1,1
3,53,UNKNOWN,UNKNOWN,5,1
3,54,UNKNOWN,UNKNOWN,1,1
3,58,UNKNOWN,UNKNOWN,2,1
3,60,UNKNOWN,UNKNOWN,1,1
3,67,UNKNOWN,UNKNOWN,1,1
3,68,UNKNOWN,UNKNOWN,1,1
3,69,UNKNOWN,UNKNOWN,1,1
3,83,UNKNOWN,UNKNOWN,1,1
3,111,UNKNOWN,UNKNOWN,1,1
3,112,UNKNOWN,UNKNOWN,1,1
3,150,UNKNOWN,UNKNOWN,2,1
3,181,UNKNOWN,UNKNOWN,1,1
3,194,UNKNOWN,UNKNOWN,7,1
3,195,UNKNOWN,UNKNOWN,4,1
3,196,UNKNOWN,UNKNOWN,1,1
3,208,UNKNOWN,UNKNOWN,2,1
3,224,UNKNOWN,UNKNOWN,1,1
4,0,UNKNOWN,UNKNOWN,1,1
4,20,UNKNOWN,UNKNOWN,12,1
