id,x,y,z,type,excitation_type
0,8.65,-322.6291,-1.089988,ADAL,3
1,-12.9,-322.6291,-1.089988,ADAR,3
2,11.0,-326.0401,-0.8867022,ADEL,3
3,-15.3,-326.0401,-0.8867022,ADER,3
4,3.725,-353.0995,1.670831,ADFL,3
5,-8.0,-353.0995,1.670831,ADFR,3
6,2.7,-353.3378,-4.651209,ADLL,3
7,-6.95,-353.3378,-4.651209,ADLR,3
8,4.5,-354.2524,0.08763832,AFDL,3
9,-8.75,-354.2524,0.08763832,AFDR,3
10,0.8,-347.1946,5.779725,AIAL,3
11,-5.1,-347.1946,5.779725,AIAR,3
12,2.7,-349.6883,5.262917,AIBL,3
13,-6.9,-349.6883,5.262917,AIBR,3
14,9.25,-334.1736,7.725632,AIML,3
15,-13.5,-334.1736,7.725632,AIMR,3
16,-1.45,-353.7809,4.364991,AINL,3
17,-3.067,-353.7809,4.364991,AINR,3
18,7.45,-333.532,6.812215,AIYL,3
19,-11.7,-333.532,6.812215,AIYR,3
20,5.6,-342.9726,1.834815,AIZL,3
21,-9.95,-342.9726,1.834815,AIZR,3
22,-1.35,-359.2671,-5.824844,ALA,3
23,22.675,-123.7724,-6.873142,ALML,3
24,-24.15,-123.7724,-6.873142,ALMR,3
25,0.325,365.9804,-3.428952,ALNL,3
26,-2.925,365.9804,-3.428952,ALNR,3
27,-14.8,-327.3223,-1.910755,AQR,3
28,-0.275,-300.9,17.13234,AS1,3
29,-1.9,237.9416,21.56363,AS10,3
30,-1.875,272.2539,16.84926,AS11,3
31,-1.875,-270.1828,19.87079,AS2,3
32,-1.9,-209.0672,22.68622,AS3,3
33,-1.875,-152.3354,20.4753,AS4,3
34,-1.875,-76.99857,27.10955,AS5,3
35,-1.9,-41.52651,25.79496,AS6,3
36,-1.9,68.97963,24.56775,AS7,3
37,-1.9,138.6121,23.44563,AS8,3
38,-1.875,188.1156,24.40402,AS9,3
39,4.125,-348.5705,1.46442,ASEL,3
40,-8.375,-348.5705,1.46442,ASER,3
41,3.7,-352.1903,-2.836299,ASGL,3
42,-8.0,-352.1903,-2.836299,ASGR,3
43,5.55,-350.7463,1.354351,ASHL,3
44,-9.8,-350.7463,1.354351,ASHR,3
45,2.65,-351.2521,-4.807262,ASIL,3
46,-6.9,-351.2521,-4.807262,ASIR,3
47,2.975,-346.9114,3.555331,ASJL,3
48,-7.25,-346.9114,3.555331,ASJR,3
49,3.7,-354.9955,-2.736667,ASKL,3
50,-8.0,-354.9955,-2.736667,ASKR,3
51,4.5,-347.8049,3.945663,AUAL,3
52,-8.8,-347.8049,3.945663,AUAR,3
53,-0.55,-355.1269,6.368507,AVAL,3
54,-3.5,-355.1269,6.368507,AVAR,3
55,0.225,-353.4538,5.845381,AVBL,3
56,-4.581,-353.4538,5.845381,AVBR,3
57,-0.167,-352.186,5.952223,AVDL,3
58,-4.033,-352.1638,5.961448,AVDR,3
59,2.75,-354.0874,3.09528,AVEL,3
60,-8.4,-354.0874,3.09528,AVER,3
61,2.1,-323.1924,13.25655,AVFL,3
62,-6.5,-323.1924,13.25655,AVFR,3
63,-2.0,-312.0381,13.93371,AVG,3
64,4.15,-351.1696,-2.807556,AVHL,3
65,-8.900001,-351.1696,-2.807556,AVHR,3
66,0.2,-352.5853,-4.972199,AVJL,3
67,-4.75,-352.5853,-4.972199,AVJR,3
68,1.65,-332.9309,13.63344,AVKL,3
69,-4.583,-323.8651,13.15695,AVKR,3
70,-7.5,-346.8734,4.766396,AVL,3
71,-20.5,-120.2647,1.468475,AVM,3
72,3.9,-351.6547,-0.1634039,AWAL,3
73,-8.2,-351.6547,-0.1634039,AWAR,3
74,5.5,-352.1118,-0.3533402,AWBL,3
75,-9.75,-352.1118,-0.3533402,AWBR,3
76,3.8,-352.1224,4.14088,AWCL,3
77,-8.1,-352.1224,4.14088,AWCR,3
78,4.675,-362.9789,1.76847,BAGL,3
79,-9.0,-362.9789,1.76847,BAGR,3
80,15.35,-261.9188,0.675554,BDUL,3
81,-19.65,-261.9188,0.675554,BDUR,3
82,1.35,-363.9811,-7.512276,CEPDL,3
