id,x,y,z,type,excitation_type,layer
31626468583,297143,186549,2304,PYRAMIDAL,1,4
27478208288,321717,68209,3968,PYRAMIDAL,1,2
37714443412,389900,103745,3200,INTERNEURON,0,1
3124804173,345285,121475,2176,INTERNEURON,0,2
1637224959,259082,83427,128,INTERNEURON,0,3
6863317022,276611,258043,1280,PYRAMIDAL,1,5
28745838008,355790,102464,3328,PYRAMIDAL,1,2
809422398,315013,57039,1664,PYRAMIDAL,1,2
4475908275,244956,143065,3840,PYRAMIDAL,1,4
3605322777,359183,127118,3456,INTERNEURON,0,2
5433398030,163894,194381,2176,PYRAMIDAL,1,6
48123700017,414965,152813,2688,INTERNEURON,0,2
3053507171,392025,127616,1280,PYRAMIDAL,1,2
1539180821,357878,99700,128,PYRAMIDAL,1,2
40944898326,353149,201880,4096,INTERNEURON,0,3
6322366087,199876,215961,5120,PYRAMIDAL,1,6
29308998642,216824,117148,1920,INTERNEURON,0,4
38267441706,376412,125496,3712,PYRAMIDAL,1,2
5253951379,451604,192358,1152,INTERNEURON,0,1
5791413754,411639,214400,768,PYRAMIDAL,1,2
2306316938,238344,107821,0,INTERNEURON,0,3
6618401330,335026,234081,768,PYRAMIDAL,1,4
3385767495,308360,146814,384,INTERNEURON,0,3
2963916394,349628,135510,1664,PYRAMIDAL,1,3
29514580369,268420,125524,4864,PYRAMIDAL,1,3
71351714738,258859,53797,4864,INTERNEURON,0,0
5208352652,393556,178971,2816,PYRAMIDAL,1,2
2117904275,259234,101503,640,INTERNEURON,0,3
56631527779,192880,105342,4096,PYRAMIDAL,1,4
30490393785,276430,157127,3968,PYRAMIDAL,1,4
13880587619,266860,164239,3712,PYRAMIDAL,1,4
4391865117,341274,178632,1152,PYRAMIDAL,1,3
32281760788,304843,208021,3200,PYRAMIDAL,1,4
33111244340,303129,217709,4480,PYRAMIDAL,1,4
38135449427,359058,121117,2560,INTERNEURON,0,2
4522237537,298618,193173,768,PYRAMIDAL,1,4
1754937999,298129,87022,0,INTERNEURON,0,2
