id,x,y,z,type,excitation_type
29,31438.829,24738.514,44077.377,KC,1
37365,96904.893,61366.184,50713.348,sensory,1
40045,81799.810,64653.101,31272.030,sensory,1
40152,64175.046,66778.249,38785.140,sensory,1
677717,31859.599,23931.805,45046.390,KC,1
766246,12513.189,51809.971,48205.359,sensory,1
858479,42081.739,72404.547,45932.228,DN-SEZ,0
865151,43504.939,75940.237,53569.733,DN-SEZ,0
867393,37699.264,49126.047,36561.541,PN,1
869360,42850.582,70112.597,46860.688,DN-SEZ,0
891237,41975.335,82220.550,167690.510,sensory,1
900032,11559.397,53516.056,46187.270,sensory,1
902038,11742.104,54788.565,43756.175,sensory,1
902877,12099.755,51582.726,48316.906,sensory,1
945309,33820.017,69056.509,28996.144,sensory,1
946481,12545.231,54177.471,44576.416,sensory,1
992646,63500.260,75842.302,44164.654,DN-SEZ,0
1011675,66679.501,62281.314,43499.048,sensory,1
1042538,51099.224,79520.293,138620.821,ascending,1
1065967,49927.288,47243.557,59232.323,DN-VNC,1
1137946,22420.994,47072.439,56098.484,PN-somato,1
1141813,22110.618,40543.006,57736.550,PN-somato,1
1347886,72182.875,72880.603,38650.578,sensory,1
1351125,68390.769,70217.395,33452.369,sensory,1
1367171,68778.720,63882.802,33893.237,sensory,1
1375101,67511.810,66295.109,34313.472,sensory,1
1377586,68102.037,64562.402,34168.262,sensory,1
1391179,65431.893,65150.023,38688.571,sensory,1
1392771,66179.256,63415.325,39017.739,sensory,1
1395971,65044.217,65576.395,37445.212,sensory,1
1398253,64571.738,64205.906,41173.735,sensory,1
1400725,64803.223,65238.536,39777.606,sensory,1
1405493,63257.964,66593.208,40526.282,sensory,1
1406463,67010.706,65091.107,35568.210,sensory,1
1414206,68186.574,65682.750,33197.330,sensory,1
1415168,68005.459,68190.637,33082.420,sensory,1
1419315,62275.018,71372.145,38541.147,sensory,1
1427012,69585.749,68249.585,32288.281,sensory,1
1428271,69266.571,66520.785,30881.595,sensory,1
1429969,67810.580,66540.683,32391.738,sensory,1
1431256,69491.909,66906.402,29823.460,sensory,1
1432836,69653.070,66059.138,30639.896,sensory,1
1435466,65438.051,67525.576,34823.172,sensory,1
1591270,52509.927,52762.177,54228.035,pre-DN-VNC,3
1591351,57809.465,56892.084,55713.861,PN,1
1622901,71983.598,59356.966,64046.972,DN-VNC,1
1646076,64937.547,36944.178,45282.123,pre-DN-VNC,3
1678567,74844.383,52169.199,54137.368,DN-VNC,1
1679034,77743.550,51521.478,51827.029,pre-DN-VNC,3
1690576,58619.683,80802.116,136877.528,ascending,1
1706716,74325.883,64124.556,33193.282,sensory,1
1709802,72248.721,67219.584,32223.742,sensory,1
1715990,66642.731,65758.588,42068.471,sensory,1
1805406,22246.655,42280.704,56328.652,UNKNOWN,1
1805418,31995.304,35556.102,57111.839,pre-DN-SEZ,3
1805669,31698.327,38564.479,51497.121,pre-DN-VNC,3
1856512,11884.489,54290.109,43385.861,sensory,1
1868538,40905.282,36096.311,48116.616,pre-DN-VNC,3
1869592,20974.611,29738.568,63181.244,UNKNOWN,1
1924051,69863.657,72915.167,43212.794,DN-SEZ,0
1961182,61245.241,32075.136,51660.208,pre-DN-VNC,3
1980134,66981.669,64764.324,97664.355,DN-VNC,1
2123422,65902.094,80681.676,116970.410,ascending,1
2138427,54119.988,49508.338,46210.110,RGN,1
2142817,68148.777,23250.957,44296.995,pre-DN-SEZ,3
2200028,96573.397,60565.331,53321.154,sensory,1
2204467,87769.140,38184.579,70563.932,PN,1
2206279,96953.225,62060.699,49755.145,sensory,1
2209091,95943.712,59449.402,52509.121,sensory,1
2215247,96496.024,61046.147,51677.887,sensory,1
2215447,96580.541,60617.768,52159.577,sensory,1
2215622,96585.356,61223.248,51492.504,sensory,1
2216131,96639.261,61687.932,49700.530,sensory,1
2216187,95930.501,59491.376,53434.060,sensory,1
2216445,96646.092,61106.057,51337.129,sensory,1
2260755,48750.586,35828.381,34542.356,RGN,1
2283495,48100.208,29981.642,31130.947,RGN,1
2284021,54233.738,54167.875,34097.330,sensory,1
2340336,49653.650,53715.219,32320.515,sensory,1
2355126,50985.775,28139.303,31696.112,RGN,1
2357110,47892.727,32955.212,32193.742,RGN,1
2369444,71576.273,25470.641,41867.390,LHN,2
2379529,84607.091,28700.711,61624.265,LHN,2
2379544,82376.141,27612.121,61836.639,UNKNOWN,1
2432564,46103.936,69941.186,37274.970,PN,1
2438653,73080.306,29180.881,51142.843,pre-DN-VNC,3
2439067,73493.169,30297.272,54675.290,LHN,2
2439134,80329.065,25026.234,54962.177,LHN,2
2439150,78868.149,23457.534,52363.628,LHN,2
2456826,49386.037,53967.862,32252.478,sensory,1
2504517,45720.306,34067.128,52044.057,pre-DN-VNC,3
2505266,42166.132,38065.826,52123.787,PN-somato,1
2506050,39626.722,25111.760,37149.924,MBIN,1
2511238,50682.711,77291.079,116640.055,ascending,1
2512602,16265.379,36000.287,68426.297,PN,1
2532841,12450.327,53190.109,47386.101,sensory,1
2544902,12567.494,53228.698,46393.045,sensory,1
2552701,12861.013,52650.637,47946.818,sensory,1
2557644,36567.799,63880.760,48967.573,DN-SEZ,0
2568465,73072.737,57300.089,51274.000,PN,1
2568522,66218.733,47256.338,49034.710,PN,1
2571761,28187.800,59850.560,30990.538,sensory,1
2582391,28984.861,61927.197,30656.540,sensory,1
2584838,25103.827,64205.700,31443.548,sensory,1
2597151,72137.359,23814.013,42848.154,pre-DN-VNC,3
2608843,26394.619,63810.729,28527.830,sensory,1
2610744,80536.106,65265.327,33803.533,sensory,1
2611805,76670.753,62463.622,34333.599,sensory,1
2612527,73665.015,53051.497,48669.469,PN,1
2619565,58685.529,80632.251,124420.443,ascending,1
2628785,53788.216,41134.864,44914.283,PN,1
2648254,37591.544,50934.943,52339.898,DN-SEZ,0
