skid,celltype,dendritic_output-input_ratio
11007420,DN-SEZ,3.471259053783326
11009492,DN-SEZ,3.330753968253968
15517247,pre-DN-VNC,1.8333333333333335
13370624,pre-DN-VNC,1.7380952380952381
16014701,PN-somato,1.4430538172715894
11719626,PN-somato,1.417618514371034
16675987,DN-VNC,1.364819004524887
4620453,LN,1.353846153846154
7868195,KC,1.3076923076923077
5836035,KC,1.2962962962962963
11073313,pre-DN-VNC,1.2903846153846155
16547292,pre-DN-VNC,1.2721391604370327
17036132,PN,1.1888150609080843
4412315,KC,1.181578947368421
4985759,LN,1.1645530939648587
9061235,CN,1.1481617647058824
17360254,PN-somato,1.1408450704225352
16444327,KC,1.1363636363636365
17743170,PN,1.108252427184466
5836197,KC,1.105263157894737
16545179,pre-DN-VNC,1.1017101710171018
9048462,MB-FFN,1.0946969696969697
6604203,DN-SEZ,1.091394025604552
11717001,PN-somato,1.0838414634146343
7916593,PN,1.0518320610687022
8513389,KC,1.05
16630941,KC,1.0375
8393981,KC,1.0285714285714285
9842383,DN-SEZ,0.9831029185867897
16631114,KC,0.9803030303030303
18538744,pre-DN-VNC,0.9797551789077213
2628785,PN,0.9719887955182073
17728571,DN-SEZ,0.9644249512670565
19919566,PN-somato,0.9627329192546583
9766793,KC,0.9591836734693877
9809626,KC,0.9347826086956522
17223685,DN-VNC,0.9271827500883705
7891312,KC,0.9215686274509803
4518546,KC,0.92
3450751,PN,0.908
9481869,PN-somato,0.878283388827229
8262503,KC,0.875
16627861,KC,0.8709677419354839
4354933,PN,0.8617238562091503
8274902,KC,0.8524590163934426
17036160,PN,0.8472222222222222
11785627,KC,0.8421052631578947
9889095,KC,0.8367346938775511
16492104,MB-FFN,0.820440251572327
15514582,PN-somato,0.8122950819672132
16627950,KC,0.8108108108108109
14434314,LHN,0.8070818070818071
18123575,DN-VNC,0.8006802721088435
9730873,KC,0.8
8865199,KC,0.7872340425531915
12217572,KC,0.7868852459016393
16595001,PN-somato,0.7839285714285715
5019924,KC,0.78125
7198338,PN,0.7790178571428572
9983191,KC,0.7758620689655172
7690945,KC,0.7704918032786885
5836181,KC,0.7674418604651163
16444758,pre-DN-SEZ,0.7649549549549549
16440649,KC,0.7647058823529411
11725803,KC,0.7636363636363637
9064208,MB-FBN,0.7564149560117301
8263285,KC,0.7441860465116279
8509987,KC,0.7380952380952381
9062992,MB-FBN,0.7353692818809099
8864096,KC,0.7291666666666666
4411505,KC,0.7222222222222222
18087179,PN,0.7203703703703703
16058860,KC,0.7166666666666667
16210988,KC,0.7142857142857143
7829784,KC,0.7142857142857143
9531722,KC,0.7111111111111111
16631248,KC,0.7096774193548387
4414426,KC,0.7090909090909091
16939375,KC,0.708966565349544
7843730,PN,0.7084098024398142
16629788,KC,0.7081881533101045
12839441,LHN,0.7051467051467051
14460113,KC,0.7
4324567,pre-DN-VNC,0.6925816752640629
11217208,DN-SEZ,0.6906775395147489
7941652,LN,0.6875441765491244
9421292,LHN,0.6825700615174299
2797480,pre-DN-VNC,0.6809774143302181
5835815,KC,0.68
10317031,pre-DN-VNC,0.6764227642276422
10728318,DN-VNC,0.6731177094379639
18500988,pre-DN-SEZ,0.6673742015890325
14319960,KC,0.6666666666666666
16627838,KC,0.6613685344827587
11691603,KC,0.6612244897959183
16017113,KC,0.6595744680851063
16440704,KC,0.65625
17383431,pre-DN-VNC,0.654202654307984
15722867,KC,0.6517857142857143
15861524,KC,0.6486486486486487
16438190,KC,0.6461538461538462
17732791,DN-SEZ,0.6440677966101694
16435965,KC,0.64
16977881,KC,0.6357142857142857
8263140,KC,0.6349206349206349
5937084,KC,0.6272840531561461
10056280,KC,0.6271186440677966
8877795,LN,0.6266666666666667
6704232,KC,0.6252367424242424
9525492,KC,0.625
8504660,KC,0.625
11841664,pre-DN-VNC,0.6202185792349726
17147410,KC,0.6197183098591549
9897223,KC,0.6125
8891315,KC,0.6065573770491803
15721919,KC,0.6037735849056604
16635345,pre-DN-VNC,0.5974358974358974
9813188,KC,0.5957446808510638
8318678,KC,0.5952380952380952
4570270,LN,0.5927793465106899
8262302,KC,0.5925925925925926
15691114,KC,0.5892857142857143
8810141,pre-DN-VNC,0.5892857142857143
9447255,LN,0.5871664325842696
16627773,KC,0.5833333333333334
7838405,KC,0.5833333333333334
14241490,pre-DN-VNC,0.5830691499900931
8997281,KC,0.5769230769230769
7955278,DN-SEZ,0.5769230769230769
10682660,MB-FBN,0.5726304261250498
7939890,LN,0.5680370296184379
10555409,LN,0.5666821088788954
16850888,KC,0.5666666666666667
7939979,LN,0.5666100816732796
3497901,KC,0.5645161290322581
4412036,KC,0.5641025641025641
7840203,KC,0.5636363636363636
