skid,celltype,axonIO_ratio
7616956,MBINs,3.162790698
7983899,MBINs,2.652941176
8318678,KCs,1.710526316
10673895,MBINs,1.615044248
4381377,MBINs,1.5
8814524,PNs-somato,1.409090909
8319311,MBINs,1.388888889
17354414,pre-DN-VNCs,1.32
8271034,LNs,1.307692308
17340973,PNs-somato,1.304878049
15722306,KCs,1.243902439
3021609,pre-DN-VNCs,1.21875
8689674,MBINs,1.182539683
13564607,pre-DN-VNCs,1.156862745
4414163,MBINs,1.112531969
17173852,pre-DN-VNCs,1.075313808
17295912,MBINs,1.072847682
4982172,KCs,1.051282051
16327998,pre-DN-VNCs,1.017467249
12475432,MBINs,1.010600707
677717,KCs,1
10581624,pre-DN-VNCs,1
15404207,MBINs,0.993865031
16353832,MBINs,0.98013245
4570270,LNs,0.977272727
12871993,MBINs,0.974860335
14319960,KCs,0.973684211
15592096,MBINs,0.964125561
4414184,MBINs,0.944071588
8427677,KCs,0.943661972
11691640,KCs,0.931034483
14255342,KCs,0.927536232
8480418,LNs,0.9
5474852,LNs,0.895424837
19167389,pre-DN-VNCs,0.890625
3522293,KCs,0.8875
4116174,DN-SEZs,0.885714286
10018260,LHNs,0.880701754
9847388,KCs,0.878504673
17379372,LHNs,0.873303167
4884579,MBINs,0.871111111
17173922,PNs-somato,0.845849802
7897469,MBONs,0.845744681
15734988,KCs,0.843283582
16625432,KCs,0.836734694
4381129,MBINs,0.831578947
8504660,KCs,0.820754717
16475849,MB-FBNs,0.819444444
16561284,PNs-somato,0.814345992
7851153,PNs,0.8
3819171,KCs,0.791208791
7838405,KCs,0.784810127
17591442,LNs,0.775147929
7901791,MBINs,0.769662921
10169396,KCs,0.763636364
15539984,pre-DN-VNCs,0.741573034
3347834,KCs,0.740458015
16823703,MB-FBNs,0.737704918
2506050,MBINs,0.737623762
16440704,KCs,0.735632184
16017113,KCs,0.726315789
8203947,LHNs,0.725888325
16631248,KCs,0.723214286
7910624,MBONs,0.719211823
8700125,LNs,0.714285714
9730873,KCs,0.712121212
16240569,MBINs,0.711934156
19091995,pre-DN-VNCs,0.710526316
9707941,KCs,0.704081633
5836181,KCs,0.704
5835815,KCs,0.702380952
8271875,pre-DN-VNCs,0.692307692
20316708,pre-DN-VNCs,0.689655172
14756000,PNs,0.686956522
8161148,pre-DN-VNCs,0.682080925
15691114,KCs,0.675324675
8864096,KCs,0.666666667
16089743,LHNs,0.663212435
8924186,KCs,0.663043478
10865025,DN-SEZs,0.654471545
7057894,MBINs,0.650831354
16627950,KCs,0.646017699
16015738,KCs,0.64028777
3890028,MBINs,0.636363636
14519048,KCs,0.632432432
7196392,KCs,0.628140704
6611894,MBINs,0.626530612
19092010,pre-DN-VNCs,0.625
3926438,RGNs,0.625
3234817,LNs,0.623214286
9714476,pre-DN-VNCs,0.619631902
9897223,KCs,0.616438356
17952967,LHNs,0.615384615
