left_id,right_id,celltype,additional_annotations,level_7_cluster
no pair,2532841,sensory,visual,0
no pair,16267292,sensory,visual,0
no pair,2544902,sensory,visual,0
2216445,no pair,sensory,visual,0
2216131,no pair,sensory,visual,0
10241716,no pair,sensory,visual,0
2215622,no pair,sensory,visual,0
2215447,no pair,sensory,visual,0
2215247,no pair,sensory,visual,0
no pair,7566199,sensory,visual,0
2206279,no pair,sensory,visual,0
no pair,1856512,sensory,visual,0
no pair,8447845,sensory,visual,0
no pair,946481,sensory,visual,0
no pair,902038,sensory,visual,0
no pair,900032,sensory,visual,0
37365,no pair,sensory,visual,0
2200028,no pair,sensory,visual,0
3464773,3827211,sensory,olfactory,1
6791927,3790004,sensory,olfactory,1
3716797,3963891,sensory,olfactory,1
3465659,3840345,sensory,olfactory,1
7527710,4073353,sensory,olfactory,1
7542938,3885215,sensory,olfactory,1
3511996,3958234,sensory,olfactory,1
3410499,2608843,sensory,olfactory,1
8877795,3805641,LN,no official annotation,1
3774568,3980315,sensory,olfactory,1
3410506,3893195,sensory,olfactory,2
2611805,2582391,sensory,olfactory,2
2610744,3985829,sensory,thermo-warm,2
5090549,3813723,sensory,olfactory,2
3158543,7719547,sensory,olfactory,2
3771794,7658146,sensory,olfactory,2
3768025,2584838,sensory,olfactory,2
5093516,4023881,sensory,thermo-warm,2
6340439,4076389,sensory,olfactory,2
40045,3954014,sensory,olfactory,2
3694515,3896629,sensory,olfactory,2
3592997,3865952,sensory,olfactory,2
3547397,2571761,sensory,olfactory,2
3708875,3872653,sensory,olfactory,2
15716934,15746421,sensory,gustatory-external,3
15714639,15595950,sensory,gustatory-external,3
12882387,7563413,LN,no official annotation,3
3586984,3966683,sensory,gustatory-external,3
4338596,15652529,sensory,gustatory-external,3
15716701,15556868,sensory,gustatory-external,3
15690093,15615042,sensory,gustatory-external,3
15689373,15588691,sensory,gustatory-external,3
15674262,15556081,sensory,gustatory-external,3
12260696,15615589,sensory,gustatory-external,3
15679577,18625446,sensory,gustatory-external,3
15938337,15595607,sensory,gustatory-external,3
15681740,15589411,sensory,gustatory-external,3
5327961,11184236,PN,gustatory-external 2nd_order PN,3
15677323,15653288,sensory,gustatory-external,3
11671564,15522777,sensory,gustatory-pharyngeal,3
13380660,14517691,DN-SEZ,mPN,3
11821320,6220384,PN,gustatory-external 2nd_order PN,3
11745381,15653432,sensory,gustatory-external,3
5322337,6219781,LN,no official annotation,3
17062823,16393165,DN-SEZ,no official annotation,3
5186461,9853425,sensory,gustatory-external,3
18934019,15609885,sensory,gustatory-external,3
3054101,3199456,sensory,gustatory-pharyngeal,3
15716309,15736147,sensory,gustatory-external,4
17814107,10167116,DN-SEZ,no official annotation,4
3539170,8159396,DN-SEZ,no official annotation,4
17740547,13580849,DN-SEZ,no official annotation,4
12073881,12253020,sensory,gustatory-external,4
13313410,16586265,DN-SEZ,no official annotation,4
15995929,15506094,sensory,gustatory-pharyngeal,4
15997645,15592696,sensory,gustatory-pharyngeal,4
15997692,15507888,sensory,gustatory-pharyngeal,4
15715643,16341399,sensory,gustatory-external,4
15688358,15588800,sensory,gustatory-external,4
4991243,8227502,DN-SEZ,no official annotation,4
15680093,10934438,sensory,gustatory-external,4
5088293,4097554,sensory,gustatory-external,4
11736972,15595823,sensory,gustatory-external,4
17732291,17659219,DN-SEZ,no official annotation,4
17355745,16158918,DN-SEZ,no official annotation,4
15716127,3071301,sensory,gustatory-external,4
17356454,2557644,DN-SEZ,no official annotation,4
5116147,4017089,sensory,gustatory-external,4
15673867,15651438,sensory,gustatory-external,4
12000033,9750356,DN-SEZ,no official annotation,4
3652587,3822523,sensory,gustatory-external,5
15716094,15589362,sensory,gustatory-external,5
15677030,15656435,sensory,gustatory-external,5
15686512,15615081,sensory,gustatory-external,5
15673925,15615776,sensory,gustatory-external,5
5120097,4096703,sensory,gustatory-external,5
3797420,5558724,DN-SEZ,no official annotation,5
18440675,12335381,DN-SEZ,no official annotation,5
15590761,15409328,sensory,gustatory-pharyngeal,5
3486867,5478818,DN-SEZ,PL-1,5
3609202,3487306,sensory,thermo-cold,5
3639968,18630153,sensory,thermo-cold,5
1706716,15541976,sensory,gustatory-pharyngeal,5
16288872,15639171,sensory,gustatory-pharyngeal,5
7439909,15531033,sensory,gustatory-pharyngeal,5
7556564,15640893,sensory,gustatory-pharyngeal,5
15998817,15530882,sensory,gustatory-pharyngeal,5
15998782,15531916,sensory,gustatory-pharyngeal,5
15998768,15525858,sensory,gustatory-pharyngeal,5
15998469,16341507,sensory,gustatory-pharyngeal,5
17351780,19054481,DN-SEZ,no official annotation,5
15998307,15573283,sensory,gustatory-pharyngeal,5
15998218,16341966,sensory,gustatory-pharyngeal,5
15998100,15458316,sensory,gustatory-pharyngeal,5
11229136,17529547,DN-SEZ,no official annotation,5
15997983,15434200,sensory,gustatory-pharyngeal,5
15997929,18620885,sensory,gustatory-pharyngeal,5
15997807,15398807,sensory,gustatory-pharyngeal,5
8055671,5448622,sensory,gustatory-external,5
15996518,3795498,sensory,gustatory-pharyngeal,5
15995404,15461769,sensory,gustatory-pharyngeal,5
15998261,15451084,sensory,gustatory-pharyngeal,5
17359133,869360,DN-SEZ,no official annotation,5
1715990,15573331,sensory,gustatory-pharyngeal,5
9842383,6219445,DN-SEZ,no official annotation,5
15717736,15639020,sensory,gustatory-pharyngeal,5
13830600,16057212,DN-SEZ,no official annotation,5
